display_name,layer_type,layer_name,spatial_resolution_in_meters,ee_layer_name,db_dataset_name,geoserver_workspace_name,start_year,end_year,geoserver_layer_name,style_file_url
the name which will be displayed on the dashboard,raster or vector layer,layer name which will be the common link across the various components,,name of the layer in earthengine,dataset name of the layer in the database,workspace name of the layer in geoserver,start year of the data layer,end year of the data layer,name of the layer in geoserver,github link of the associated style file
Admin Boundaries,vector,admin_boundaries_vector,,admin_boundary,Admin Boundary,panchayat_boundaries,,,{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Demographic/Administrative-Boundary-Style.qml
Aquifer,vector,aquifer_vector,,aquifer_vector,Aquifer,aquifer,,,aquifer_vector_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Aquifer_style.qml
Drainage Lines,vector,drainage_lines_vector,,drainage_lines,Drainage,drainage,,,{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Drainage-Layer-Style.qml
Surface Water Bodies,vector,surface_water_bodies_vector,,swb2,Surface Water Bodies,swb,,,surface_waterbodies_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Surface-Waterbody-style.qml
Surface Water Bodies,vector,surface_water_bodies_vector,,swb3,Surface Water Bodies,swb,,,surface_waterbodies_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/Surface-Waterbody-style.qml
Land Use Change : Tree cover gain,raster,change_tree_cover_gain_raster,10,change_Afforestation,Change Detection Raster,change_detection,,,change_{district}_{block}_Afforestation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/tree_cover_gain.qml
Land Use Change : Tree cover loss,raster,change_tree_cover_loss_raster,10,change_Deforestation,Change Detection Raster,change_detection,,,change_{district}_{block}_Deforestation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/tree_cover_loss.qml
Land Use change : Cropping reduction,raster,change_cropping_reduction_raster,10,change_Degradation,Change Detection Raster,change_detection,,,change_{district}_{block}_Degradation,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/cropping_reduction.qml
Land use change : Urbanization,raster,change_urbanization_raster,10,change_Urbanization,Change Detection Raster,change_detection,,,change_{district}_{block}_Urbanization,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/Urbanization_climate_change.qml
Land Use Change : Cropping intensity,raster,change_cropping_intensity_raster,10,change_CropIntensity,Change Detection Raster,change_detection,,,change_{district}_{block}_CropIntensity,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/Cropping_Intensity_climate_change.qml
NREGA Works,vector,nrega_vector,,,NREGA Assets,nrega_assets,,,{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/NREGA/NREG-Assets-Classified-Style.qml
Land Use Land Cover,raster,land_use_land_cover_raster,10,lulc_raster,LULC_level_3,LULC_level_3,,,LULC_{start_year}_{end_year}_{block}_level_3,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/LULC0_12class.qml
Land Use Change : Tree cover gain,vector,change_tree_cover_gain_vector,,change_vector_Afforestation,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_Afforestation,No style file 
Land Use Change : Cropping intensity,vector,change_cropping_intensity_vector,,change_vector_CropIntensity,Change Detection Vector,change_detection,,,change_vector_{district}_{block}_CropIntensity,No style file 
