soi_district_id,source_state_name,source_district_name,source_state_slug,source_district_slug,soi_state_name,soi_district_name,soi_state_slug,soi_district_slug,source_profile_path,district_profile_path,source_metadata_path,district_metadata_path,path_changed
101,Himachal Pradesh,Bilaspur,himachal_pradesh,bilaspur,HIMACHAL PRADESH,BILASPUR,himachal_pradesh,bilaspur,data/ceew/district_data/himachal_pradesh/bilaspur/himachal_pradesh_bilaspur_profile.json,data/ceew/district_data/himachal_pradesh/bilaspur/himachal_pradesh_bilaspur_profile.json,data/ceew/district_data/himachal_pradesh/bilaspur/himachal_pradesh_bilaspur_metadata_config.json,data/ceew/district_data/himachal_pradesh/bilaspur/himachal_pradesh_bilaspur_metadata_config.json,False
102,Himachal Pradesh,Chamba,himachal_pradesh,chamba,HIMACHAL PRADESH,CHAMBA,himachal_pradesh,chamba,data/ceew/district_data/himachal_pradesh/chamba/himachal_pradesh_chamba_profile.json,data/ceew/district_data/himachal_pradesh/chamba/himachal_pradesh_chamba_profile.json,data/ceew/district_data/himachal_pradesh/chamba/himachal_pradesh_chamba_metadata_config.json,data/ceew/district_data/himachal_pradesh/chamba/himachal_pradesh_chamba_metadata_config.json,False
103,Himachal Pradesh,Hamirpur,himachal_pradesh,hamirpur,HIMACHAL PRADESH,HAMIRPUR,himachal_pradesh,hamirpur,data/ceew/district_data/himachal_pradesh/hamirpur/himachal_pradesh_hamirpur_profile.json,data/ceew/district_data/himachal_pradesh/hamirpur/himachal_pradesh_hamirpur_profile.json,data/ceew/district_data/himachal_pradesh/hamirpur/himachal_pradesh_hamirpur_metadata_config.json,data/ceew/district_data/himachal_pradesh/hamirpur/himachal_pradesh_hamirpur_metadata_config.json,False
104,Himachal Pradesh,Kangra,himachal_pradesh,kangra,HIMACHAL PRADESH,KANGRA,himachal_pradesh,kangra,data/ceew/district_data/himachal_pradesh/kangra/himachal_pradesh_kangra_profile.json,data/ceew/district_data/himachal_pradesh/kangra/himachal_pradesh_kangra_profile.json,data/ceew/district_data/himachal_pradesh/kangra/himachal_pradesh_kangra_metadata_config.json,data/ceew/district_data/himachal_pradesh/kangra/himachal_pradesh_kangra_metadata_config.json,False
105,Himachal Pradesh,Kinnaur,himachal_pradesh,kinnaur,HIMACHAL PRADESH,KINNAUR,himachal_pradesh,kinnaur,data/ceew/district_data/himachal_pradesh/kinnaur/himachal_pradesh_kinnaur_profile.json,data/ceew/district_data/himachal_pradesh/kinnaur/himachal_pradesh_kinnaur_profile.json,data/ceew/district_data/himachal_pradesh/kinnaur/himachal_pradesh_kinnaur_metadata_config.json,data/ceew/district_data/himachal_pradesh/kinnaur/himachal_pradesh_kinnaur_metadata_config.json,False
106,Himachal Pradesh,Kullu,himachal_pradesh,kullu,HIMACHAL PRADESH,KULLU,himachal_pradesh,kullu,data/ceew/district_data/himachal_pradesh/kullu/himachal_pradesh_kullu_profile.json,data/ceew/district_data/himachal_pradesh/kullu/himachal_pradesh_kullu_profile.json,data/ceew/district_data/himachal_pradesh/kullu/himachal_pradesh_kullu_metadata_config.json,data/ceew/district_data/himachal_pradesh/kullu/himachal_pradesh_kullu_metadata_config.json,False
107,Himachal Pradesh,Lahul & Spiti,himachal_pradesh,lahul_spiti,HIMACHAL PRADESH,LAHUL & SPITI,himachal_pradesh,lahul_spiti,data/ceew/district_data/himachal_pradesh/lahul_spiti/himachal_pradesh_lahul_spiti_profile.json,data/ceew/district_data/himachal_pradesh/lahul_spiti/himachal_pradesh_lahul_spiti_profile.json,data/ceew/district_data/himachal_pradesh/lahul_spiti/himachal_pradesh_lahul_spiti_metadata_config.json,data/ceew/district_data/himachal_pradesh/lahul_spiti/himachal_pradesh_lahul_spiti_metadata_config.json,False
108,Himachal Pradesh,Mandi,himachal_pradesh,mandi,HIMACHAL PRADESH,MANDI,himachal_pradesh,mandi,data/ceew/district_data/himachal_pradesh/mandi/himachal_pradesh_mandi_profile.json,data/ceew/district_data/himachal_pradesh/mandi/himachal_pradesh_mandi_profile.json,data/ceew/district_data/himachal_pradesh/mandi/himachal_pradesh_mandi_metadata_config.json,data/ceew/district_data/himachal_pradesh/mandi/himachal_pradesh_mandi_metadata_config.json,False
109,Himachal Pradesh,Shimla,himachal_pradesh,shimla,HIMACHAL PRADESH,SHIMLA,himachal_pradesh,shimla,data/ceew/district_data/himachal_pradesh/shimla/himachal_pradesh_shimla_profile.json,data/ceew/district_data/himachal_pradesh/shimla/himachal_pradesh_shimla_profile.json,data/ceew/district_data/himachal_pradesh/shimla/himachal_pradesh_shimla_metadata_config.json,data/ceew/district_data/himachal_pradesh/shimla/himachal_pradesh_shimla_metadata_config.json,False
110,Himachal Pradesh,Sirmaur,himachal_pradesh,sirmaur,HIMACHAL PRADESH,SIRMAUR,himachal_pradesh,sirmaur,data/ceew/district_data/himachal_pradesh/sirmaur/himachal_pradesh_sirmaur_profile.json,data/ceew/district_data/himachal_pradesh/sirmaur/himachal_pradesh_sirmaur_profile.json,data/ceew/district_data/himachal_pradesh/sirmaur/himachal_pradesh_sirmaur_metadata_config.json,data/ceew/district_data/himachal_pradesh/sirmaur/himachal_pradesh_sirmaur_metadata_config.json,False
